Date,Object,Price,Location,Category,Object Type,Material,Link
2018-11-23 00:00:00,"Sold Nov 23 , 2018 space circles Ancient Bronze Roman Small Ring AMAZING ",4.02,Russia,roman | ,jewellery | ,metal | ,https://www.ebay.com/itm/Space-Circles-Ancient-Bronze-Roman-Small-Ring-AMAZING/183533881445?hash=item2abb78c865%3Ag%3Av%7EEAAOSwaalb6sOl&LH_Auction=1
2019-02-23 00:00:00,"Sold  Feb 23, 2019 SUPERB Ancient Bronze VIKING CROSS AMULET Pendant c.8-11 AD ,Wearable #431",14,Ukraine,viking | ,religious | jewellery | ,metal | ,https://www.ebay.com/itm/SUPERB-Ancient-Bronze-VIKING-CROSS-AMULET-Pendant-c-8-11-AD-Wearable-431/173797541427?hash=item2877240633%3Ag%3AtQoAAOSwRYNcaIW5&LH_Auction=1
2018-12-11 00:00:00,"Sold Dec 11 , 2018 Roman Glass Bangle ",25.81,,roman | ,jewellery | ,glass | ,
2019-01-06 00:00:00,"Sold Jan 6 , 2019 ( 40 ) Select Sahara Neolithic Quartz Disk Beads , Prehistoric African Artifacts ",38,United States,pre-historic | africa | ,jewellery | ,?,https://www.ebay.com/itm/40-Select-Sahara-Neolithic-Quartz-Disk-Beads-Prehistoric-African-Artifacts/233069960082?hash=item36440d5b92%3Ag%3ALEEAAOSwLktcI9n9&LH_Auction=1
2019-03-31 00:00:00,"Sold Mar 31 , 2019 BEAUTIFUL ANCIENT EGYPTIAN SARCOPHAGUS WITH FAIENCE SCARABS AND hieroglyphs ",241.06,,egyptian  | ,jewellery | tool | text | ,terracotta | ,
2018-10-28 00:00:00,"Sold Oct 28 , 2018 INDUS VALLEY TERRACOTTA APPLIQUE WITH GEOMETRIC DESIGN RARE ANCIENT ARTIFACT ( 1 ) ",30.97,United Kingdom,india | ,?,terracotta | ,https://www.ebay.com/itm/INDUS-VALLEY-TERRACOTTA-APPLIQUE-WITH-GEOMETRIC-DESIGN-RARE-ANCIENT-ARTIFACT-1/312277297355?hash=item48b52d68cb%3Ag%3ALNQAAOSwuGhbzw6a&LH_Auction=1
2018-12-17 00:00:00,"Sold Dec 17 , 2018 rare ancient viking bronze ring solid beautiful authentic rare type ",13.99,Morocco,viking | ,jewellery | ,metal | ,https://www.ebay.com/itm/rare-ancient-viking-bronze-ring-solid-beautiful-authentic-rare-type/254021120577?hash=item3b24d6b241%3Ag%3Aj1EAAOSwcBRbsTR4&LH_Auction=1
2019-02-02 00:00:00,"Sold Feb 2 , 2019 ANCIENT ROMAN DECORATED SALT/PEPPER POT and ord Cent AD ( 1 ) ",13.91,United States,roman | ,vessel | ,?,https://www.ebay.com/itm/ANCIENT-ROMAN-DECORATED-SALT-PEPPER-POT-2nd-3rd-Cent-AD-1/312448831073?hash=item48bf66ce61%3Ag%3A-wUAAOSwXINcTzHM&LH_Auction=1
2019-02-09 00:00:00,"Sold Feb 9 , 2019 STUNNING TOP QUALITY POST MEDIEVAL RING ( 6 ) ",7.28,Bulgaria,medieval | ,jewellery | ,?,https://www.ebay.com/itm/STUNNING-TOP-QUALITY-POST-MEDIEVAL-RING-6/312459967516?hash=item48c010bc1c%3Ag%3A1woAAOSw1vxcWGMd&LH_Auction=1
2019-04-13 00:00:00,"Sold Apr 13 , 2019 RARE BEAUTIFUL PHOENICIAN DECORATIVE FINGER RING 30059 ( 2 ) ",5.51,0,near east | ,jewellery | ,?,"Forest Row, East Sussex, United Kingdom"
2019-04-15 00:00:00,"Sold Apr 15 , 2019 Roman ord th Century Large Silver Phallic Pendant ",34.11,0,roman | ,jewellery | ,metal | ,"Nottingham, Nottinghamshire, United Kingdom"
2019-03-25 00:00:00,"Sold Mar 25 , 2019 420 375 BC Achaemenid Empire Xerxes II Gold doric NGC Choice of r4/5 r4/5 ",1213,United States,?,?,metal | ,https://www.ebay.com/itm/420-375-BC-Achaemenid-Empire-Xerxes-II-Gold-Daric-NGC-Choice-XF-4-5-4-5/392259222423?hash=item5b5478bb97%3Ag%3A7XcAAOSw0lhcipFg&LH_Auction=1
2019-01-12 00:00:00,"Sold Jan 12 , 2019 BEAUTIFUL ANCIENT EGYPTIAN RING 300 BC ( 2 ) ",39.58,Egypt,egyptian  | ,jewellery | ,?,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-RING-300-BC-2/312418753787?hash=item48bd9bdcfb%3Ag%3ArLsAAOSw4sNcM3gs&LH_Auction=1
2019-02-19 00:00:00,"Sold  Feb 19, 2019 Ancient Viking Bronze pendant AMULET ""SUN"" GREAT SAVE",23.5,,viking | ,jewellery | religious | ,metal | ,
2019-03-15 00:00:00,"Sold Mar 15 , 2019 Ancient Roman Ceramic Pottery Bottle Jar . Bird and Solar a Symbol , c 150 250 Ad ",95.51,,roman | ,vessel | ,terracotta | ,
2019-01-12 00:00:00,"Sold Jan 12 , 2019 RARE BEAUTIFUL PHOENICIAN DECORATIVE FINGER RING 30059 ( 4 ) ",54.3,United Kingdom,near east | ,jewellery | ,?,https://www.ebay.com/itm/RARE-BEAUTIFUL-PHOENICIAN-DECORATIVE-FINGER-RING-300BC-4/312418846636?hash=item48bd9d47ac%3Ag%3AEksAAOSw8kRcM5C7&LH_Auction=1
