Object,Price,Location,Seller,Link
"Sep 28, 2019 INTACT CELTIC SILVER BIRD APPLIQUE ORNAMENT CIRCA 100 BC-AD",$14.14,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/INTACT-CELTIC-SILVER-BIRD-APPLIQUE-ORNAMENT-CIRCA-100-BC-AD/392432803670?hash=item5b5ed15f56%3Ag%3AJtsAAOSwiGNdgj9U&LH_Auction=1
"Sep 28, 2019 THIS IS A COPY Of RARE IRON AGE ENAMELLED CELTIC CENTURY AD..",$1.23,"Lowestoft, United Kingdom",danny1970000,https://www.ebay.com/itm/THIS-IS-A-COPY-Of-RARE-IRON-AGE-ENAMELLED-CELTIC-CENTURY-AD/264475615004?hash=item3d93f99f1c%3Ag%3A9qsAAOSwKKZdiSW3&LH_Auction=1
"Sep 28, 2019 COPY Of RARE IRON AGE ENAMELLED CELTIC BROOCH c 3rd To 5th CENTURY AD..",$1.23,"Lowestoft, United Kingdom",danny1970000,https://www.ebay.com/itm/COPY-Of-RARE-IRON-AGE-ENAMELLED-CELTIC-BROOCH-c-3rd-To-5th-CENTURY-AD/264475599168?hash=item3d93f96140%3Ag%3AYUgAAOSwAzFdiSAw&LH_Auction=1
"Sep 28, 2019 Rare Iron Age / Celtic bronze socketed votive axe head metal detecting detector",$16.48,"Pontefract, West Yorkshire, United Kingdom",craig20050,https://www.ebay.com/itm/Rare-Iron-Age-Celtic-bronze-socketed-votive-axe-head-metal-detecting-detector/392421839580?hash=item5b5e2a12dc%3Ag%3A2yAAAOSwSwFdeUs0&LH_Auction=1
"Sep 28, 2019 Iron Age / Celtic bronze trefoil Horse chariot fitting metal detecting detector",$14.02,"Pontefract, West Yorkshire, United Kingdom",craig20050,https://www.ebay.com/itm/Iron-Age-Celtic-bronze-trefoil-Horse-chariot-fitting-metal-detecting-detector/392427590992?hash=item5b5e81d550%3Ag%3ACtgAAOSwPm9dfixq&LH_Auction=1
"Sep 28, 2019 VERY HUGE ANCIENT CELTIC SILVER RING CIRCA 100 AD 8.4gr 34mm",$25.82,"London, United Kingdom",roman.land,https://www.ebay.com/itm/VERY-HUGE-ANCIENT-CELTIC-SILVER-RING-CIRCA-100-AD-8-4gr-34mm/264465175024?hash=item3d935a51f0%3Ag%3AUhQAAOSwXr5dfMnQ&LH_Auction=1
"Sep 28, 2019 Age Bead Ancient Illyrians Bronze Pearls 800 - 500 B. C",$4.99,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/Age-Bead-Ancient-Illyrians-Bronze-Pearls-800-500-B-C/274019099142?hash=item3fcccfa206%3Ag%3A2u0AAOSwhlddhlDv&LH_Auction=1
"Sep 28, 2019 Ancient Roman bronze acorn Amulet/pendant",$6.50,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/Ancient-Roman-bronze-acorn-Amulet-pendant/274019095734?hash=item3fcccf94b6%3Ag%3AvUYAAOSw7%7EZdhldn&LH_Auction=1
"Sep 28, 2019 MUSEUM QUALITY BRONZE CELTIC DEER FIGURINE 100 BC 182.8gr 95.1mm",$45.63,"London, United Kingdom",roman.land,https://www.ebay.com/itm/MUSEUM-QUALITY-BRONZE-CELTIC-DEER-FIGURINE-100-BC-182-8gr-95-1mm/254359259168?hash=item3b38fe4820%3Ag%3AlAoAAOSwzhNdfLf3&LH_Auction=1
"Sep 27, 2019 Very Rare Large Part Enamelled Celtic/Iron Age Bronze Brooch/Decoration",$169.68,"North Antrim Coast, United Kingdom",blueonceagain,https://www.ebay.com/itm/Very-Rare-Large-Part-Enamelled-Celtic-Iron-Age-Bronze-Brooch-Decoration/274013319200?hash=item3fcc777020%3Ag%3AD18AAOSwO59dgQEn&LH_Auction=1
