Object,Price,Location,Seller,Link
"Sep 21, 2019 ANTIQUE/ANCIENT ROMAN BYZANTINE BRONZE CROSS STAMP SEAL ENGRAVED RELIC",$46.00,"San Diego, California, United States",dead-guy-stuff,https://www.ebay.com/itm/ANTIQUE-ANCIENT-ROMAN-BYZANTINE-BRONZE-CROSS-STAMP-SEAL-ENGRAVED-RELIC/293223429334?hash=item44457a74d6%3Ag%3ALQ8AAOSwsfddeWLI&LH_Auction=1
"Sep 21, 2019  Ancient  BYZANTINE SCORPION ENGRAVED BRONZE RING",$7.99,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/Ancient-BYZANTINE-SCORPION-ENGRAVED-BRONZE-RING/274008701694?hash=item3fcc30fafe%3Ag%3AHXAAAOSwb%7E1dfNr1&LH_Auction=1
"Sep 21, 2019 BYZANTINE LEAD BROCH PEDANT WITH GREEN AND BLUE BEADS",$4.99,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/BYZANTINE-LEAD-BROCH-PEDANT-WITH-GREEN-AND-BLUE-BEADS/274008700813?hash=item3fcc30f78d%3Ag%3AiQwAAOSwGTddfNZ0&LH_Auction=1
"Sep 21, 2019 BYZANTINE BRONZE CROSS PENDANT VERY NICE AND INTEREST 2.2gr 23mm",$28.28,"London, United Kingdom",roman.land,https://www.ebay.com/itm/BYZANTINE-BRONZE-CROSS-PENDANT-VERY-NICE-AND-INTEREST-2-2gr-23mm/254355525323?hash=item3b38c54ecb%3Ag%3A09wAAOSwutNdd5bL&LH_Auction=1
"Sep 21, 2019 ANCIENT BYZANTINE BRONZE CROSS RING",$3.99,"SR, Bosnia and Herzegovina",savas013,https://www.ebay.com/itm/ANCIENT-BYZANTINE-BRONZE-CROSS-RING/274008698840?hash=item3fcc30efd8%3Ag%3A2xUAAOSwNx5dfNhZ&LH_Auction=1
"Sep 21, 2019 RARE BYZANTINE RARE LIGHT BLUE GLASS SEAL PENDANT WITH CROSS 1.5gr 16.0mm",$34.34,"London, United Kingdom",roman.land,https://www.ebay.com/itm/RARE-BYZANTINE-RARE-LIGHT-BLUE-GLASS-SEAL-PENDANT-WITH-CROSS-1-5gr-16-0mm/264460340125?hash=item3d93108b9d%3Ag%3Ap-IAAOSwkvldd5RS&LH_Auction=1
"Sep 21, 2019 INTACT BYZANTINE DECORATED BRONZE SQUARE WEIGHT CIRCA 700 AD 4.8gr 12mm",$12.65,"London, United Kingdom",roman.land,https://www.ebay.com/itm/INTACT-BYZANTINE-DECORATED-BRONZE-SQUARE-WEIGHT-CIRCA-700-AD-4-8gr-12mm/254355475825?hash=item3b38c48d71%3Ag%3A0zgAAOSw9LJdd4HC&LH_Auction=1
"Sep 21, 2019 BYZANTINE BRONZE BELL PENDANT VERY NICE 68.0mm",$3.69,"London, United Kingdom",roman.land,https://www.ebay.com/itm/BYZANTINE-BRONZE-BELL-PENDANT-VERY-NICE-68-0mm/254355382042?hash=item3b38c31f1a%3Ag%3AlU0AAOSwFO9dd1qi&LH_Auction=1
"Sep 20, 2019 ANCIENT BYZANTINE BRONZE CROSS - RELIGIOUS ARTIFACT -WEARABLE VERY RARE",$11.50,"Moscow, Russian Federation",antic-mikhail,https://www.ebay.com/itm/ANCIENT-BYZANTINE-BRONZE-CROSS-RELIGIOUS-ARTIFACT-WEARABLE-VERY-RARE/183948552200?hash=item2ad4302808%3Ag%3AlMoAAOSwDD9dd6Q%7E&LH_Auction=1
"Sep 20, 2019 LOVELY GROUP OF ANCIENT VIKING DECORATED GLASS BEADS",$20.51,"Moscow, Russian Federation",antic-mikhail,https://www.ebay.com/itm/LOVELY-GROUP-OF-ANCIENT-VIKING-DECORATED-GLASS-BEADS/183948524016?hash=item2ad42fb9f0%3Ag%3ANOUAAOSwOzFdd52k&LH_Auction=1
"Sep 20, 2019 STUNNING BYZANTINE EMPIRE SILVER SEAL RING KING BUST DEPICTION CIRCA 700-900 AD",$77.46,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/STUNNING-BYZANTINE-EMPIRE-SILVER-SEAL-RING-KING-BUST-DEPICTION-CIRCA-700-900-AD/392419552383?hash=item5b5e072c7f%3Ag%3ANM4AAOSwO3Bdd5Za&LH_Auction=1
"Sep 20, 2019 MUSEUM QUALITY BYZANTINE BARREL SHAPED WEIGHT 29.59 grams",$14.75,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/MUSEUM-QUALITY-BYZANTINE-BARREL-SHAPED-WEIGHT-29-59-grams/202775722768?hash=item2f365ffb10%3Ag%3A-K4AAOSwm29dd41w&LH_Auction=1
"Sep 20, 2019 INTACT BYZANTINE DECORATED BRONZE SQUARE WEIGHT WITH CARVED DESIGNS CIRCA 700 AD",$20.64,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/INTACT-BYZANTINE-DECORATED-BRONZE-SQUARE-WEIGHT-WITH-CARVED-DESIGNS-CIRCA-700-AD/202775712601?hash=item2f365fd359%3Ag%3ALVwAAOSwachdd4pq&LH_Auction=1
"Sep 20, 2019 INTACT BYZANTINE DECORATED BRONZE SQUARE WEIGHT CIRCA 700 AD",$1.22,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/INTACT-BYZANTINE-DECORATED-BRONZE-SQUARE-WEIGHT-CIRCA-700-AD/392419477785?hash=item5b5e060919%3Ag%3A5e4AAOSwUApdd4JW&LH_Auction=1
"Sep 20, 2019 CIRCA 1000-1300 AD BYZANTINE ERA SILVER PENDANT DEPICTING HORSEMAN - WEARABLE",$20.90,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/CIRCA-1000-1300-AD-BYZANTINE-ERA-SILVER-PENDANT-DEPICTING-HORSEMAN-WEARABLE/392419494690?hash=item5b5e064b22%3Ag%3AaVwAAOSwTEVdd4ZC&LH_Auction=1
